Data,MRR_Total,Churn_Total,MRR_Essencial,MRR_Controle,MRR_Avancado,MRR_Performance,Churn_Essencial,Churn_Controle,Churn_Avancado,Churn_Performance,%_Anual,Signups,Trials,Conversao_Trial_Pago_%,Engajamento_Medio,%_Base_<30_dias,%_Base_Ativa,%_Ativacao_Features,Engajamento_Essencial,Engajamento_Controle,Engajamento_Avancado,Engajamento_Performance
2022-10-15,4542009.6,5.49,1382765.95,1083226.88,890671.05,1185345.72,5.69,5.53,5.22,5.19,68.43,125,59,36.68,0.37,23.95,79.96,49.05,0.356,0.375,0.401,0.396
2022-10-16,4598352.62,5.28,1363140.89,1023674.92,990409.17,1221127.64,5.53,5.43,5.01,5.02,79.28,141,69,30.91,0.321,23.5,76.81,43.15,0.301,0.346,0.335,0.342
2022-10-17,4735622.07,5.13,1485064.81,1223582.36,1022053.86,1004921.04,5.3,5.14,5.02,4.49,62.67,136,63,41.96,0.159,24.81,78.16,50.66,0.123,0.173,0.171,0.187
2022-10-18,4491296.28,4.77,1419253.78,1081617.42,971768.35,1018656.73,4.87,4.87,4.51,4.4,65.75,132,58,30.52,0.583,24.76,76.22,43.3,0.564,0.586,0.61,0.609
2022-10-19,4667295.19,5.82,1372823.53,1218672.75,898711.6,1177087.31,6.01,6.08,5.66,5.56,60.21,122,52,40.51,0.344,22.72,78.43,48.59,0.333,0.338,0.345,0.364
2022-10-20,4797857.13,7.15,1388858.84,1259520.98,996237.77,1153239.54,7.38,7.21,7.16,6.96,84.21,170,100,30.34,0.196,24.56,66.14,48.17,0.18,0.208,0.213,0.237
2022-10-21,4449102.01,5.64,1384654.07,1025961.6,849179.31,1189307.03,5.77,5.64,5.32,5.53,74.8,185,111,42.93,0.252,23.67,78.95,54.4,0.222,0.259,0.267,0.274
2022-10-22,4665156.06,6.5,1357524.22,1179667.16,875297.08,1252667.6,6.67,6.57,6.37,6.3,78.0,156,64,32.36,0.1,22.28,70.95,43.85,0.077,0.098,0.117,0.136
2022-10-23,4675185.94,4.11,1462887.06,1138941.17,876061.11,1197296.6,4.22,4.07,4.0,3.8,76.28,164,71,37.71,0.377,15.75,78.82,56.44,0.358,0.372,0.392,0.414
2022-10-24,4738818.74,5.66,1407190.0,1251085.29,917834.81,1162708.64,5.97,5.9,5.5,5.22,63.61,145,70,38.96,0.38,15.49,66.14,46.52,0.356,0.371,0.404,0.42
2022-10-25,4497565.91,4.4,1379412.44,1037979.9,886912.37,1193261.2,4.57,4.42,4.18,3.99,74.87,130,57,36.86,0.305,23.38,75.73,48.88,0.279,0.309,0.336,0.33
2022-10-26,4488545.21,4.02,1273945.24,1139599.7,957128.25,1117872.01,4.37,4.0,3.83,3.7,63.29,141,67,35.11,0.27,19.9,76.04,55.45,0.229,0.266,0.295,0.298
2022-10-27,4710632.99,4.76,1436528.13,1179484.12,870504.46,1224116.29,5.11,4.68,4.51,4.49,70.03,137,58,37.02,0.393,23.15,79.95,52.51,0.366,0.395,0.41,0.422
2022-10-28,4684638.16,6.69,1396353.41,1099789.42,980949.34,1207545.99,6.88,6.8,6.63,6.37,74.22,138,68,34.67,0.531,18.13,76.53,46.16,0.513,0.54,0.557,0.566
2022-10-29,4680059.14,6.45,1420231.05,1061578.03,941900.26,1256349.8,6.55,6.54,6.32,6.2,73.97,170,77,36.57,0.458,18.98,70.74,47.72,0.446,0.453,0.485,0.485
2022-10-30,4692573.79,5.74,1345457.42,1185259.62,898711.47,1263145.28,5.73,5.69,5.55,5.27,62.98,157,74,35.38,0.059,22.0,73.36,46.12,0.04,0.066,0.083,0.094
2022-10-31,4570397.03,3.97,1414423.39,1174271.53,912766.71,1068935.4,4.02,4.02,3.58,3.69,60.86,129,54,38.49,0.103,24.15,70.5,51.9,0.094,0.116,0.134,0.131
2022-11-01,4680870.44,5.3,1472189.38,1103662.03,898716.28,1206302.75,5.37,5.15,5.12,5.01,79.96,127,62,33.57,0.265,15.88,67.94,46.65,0.244,0.269,0.262,0.306
2022-11-02,4689168.7,5.8,1353620.41,1182803.56,955855.52,1196889.21,6.14,5.82,5.49,5.72,78.15,136,81,44.83,0.356,23.61,68.73,54.51,0.327,0.363,0.376,0.386
2022-11-03,4569277.83,5.68,1296891.65,1095514.27,901764.15,1275107.77,5.89,5.72,5.47,5.4,62.05,138,64,37.51,0.35,22.93,68.33,51.6,0.325,0.354,0.373,0.379
2022-11-04,4879892.94,3.66,1370984.17,1247595.11,910471.98,1350841.67,3.9,3.83,3.5,3.27,63.19,149,86,32.91,0.292,18.16,73.23,42.91,0.277,0.292,0.297,0.325
2022-11-05,4713859.95,4.61,1440927.34,1084002.83,870477.04,1318452.74,4.59,4.53,4.43,4.42,82.31,138,78,37.16,0.179,18.55,78.59,46.21,0.156,0.187,0.201,0.225
2022-11-06,4515043.58,5.44,1373854.44,1194277.56,911442.04,1035469.53,5.52,5.31,5.25,5.21,79.23,140,83,43.0,0.264,15.46,78.69,44.43,0.238,0.281,0.294,0.288
2022-11-07,4737786.43,6.04,1430185.62,1110397.28,1023819.17,1173384.36,6.32,5.95,5.78,5.66,84.9,149,83,30.33,0.26,15.16,65.82,47.81,0.225,0.269,0.278,0.301
2022-11-08,4543038.2,3.3,1314200.48,1083011.69,880251.39,1265574.64,3.53,3.17,2.97,3.15,66.35,156,83,40.19,0.184,19.77,66.2,50.32,0.155,0.182,0.211,0.206
2022-11-09,4755450.15,5.34,1405883.4,1060011.7,995410.85,1294144.2,5.52,5.47,5.1,4.93,72.2,130,74,38.22,0.028,15.96,68.68,50.14,0.004,0.026,0.058,0.058
2022-11-10,4801031.47,5.64,1458452.8,1082995.61,990675.82,1268907.25,5.9,5.8,5.32,5.4,65.91,142,59,32.54,0.114,16.94,68.83,55.09,0.089,0.113,0.148,0.136
2022-11-11,4564518.12,6.35,1368765.13,1121927.04,991697.23,1082128.72,6.71,6.38,6.25,6.09,75.57,144,71,42.26,0.351,23.47,66.42,43.78,0.321,0.36,0.383,0.377
2022-11-12,4779605.14,6.19,1527138.43,1115462.5,1017287.53,1119716.68,6.37,6.31,6.03,6.01,62.89,154,92,35.53,0.213,20.71,70.83,58.93,0.208,0.207,0.246,0.236
2022-11-13,4714533.71,6.08,1345799.43,1234142.4,955467.25,1179124.63,6.29,6.1,5.96,5.74,63.18,148,82,34.41,0.21,21.34,73.82,46.86,0.196,0.2,0.225,0.247
2022-11-14,4764647.22,4.7,1466585.96,1051722.83,982857.24,1263481.19,4.92,4.69,4.47,4.15,61.8,152,90,42.42,0.556,16.87,73.67,46.0,0.558,0.561,0.573,0.582
2022-11-15,4894615.16,3.59,1449651.64,1169591.31,1056920.97,1218451.25,4.03,3.56,3.43,3.21,77.34,132,73,39.58,0.34,23.29,73.15,53.7,0.304,0.341,0.336,0.376
2022-11-16,4638553.43,5.11,1378244.03,1098721.52,909067.19,1252520.69,5.1,5.08,4.83,4.89,72.35,145,83,43.47,0.114,23.68,70.08,56.11,0.097,0.129,0.123,0.139
2022-11-17,4578551.66,6.5,1413416.8,1011705.99,883989.16,1269439.71,6.77,6.35,6.39,6.09,75.44,149,81,39.45,0.079,20.23,75.6,47.57,0.054,0.056,0.111,0.109
2022-11-18,4563258.27,6.89,1404102.91,1032293.08,823359.84,1303502.44,7.08,6.92,6.69,6.63,81.98,152,84,41.11,0.366,24.13,77.4,54.94,0.346,0.368,0.38,0.41
2022-11-19,4573102.77,6.21,1461793.4,1100664.13,974354.62,1036290.62,6.47,6.21,5.94,5.77,78.51,124,63,42.55,0.142,23.45,70.19,57.67,0.14,0.138,0.166,0.164
2022-11-20,4662747.79,5.93,1329516.19,1140709.68,988685.44,1203836.48,6.06,6.0,5.94,5.55,71.54,143,84,30.82,0.075,22.31,66.28,55.34,0.037,0.083,0.097,0.097
2022-11-21,4713938.24,5.88,1339533.36,1132356.26,868204.57,1373844.05,6.07,5.89,5.47,5.87,84.61,162,92,41.64,0.256,22.34,69.44,40.68,0.23,0.253,0.288,0.283
2022-11-22,4707202.9,4.94,1454401.2,1160546.21,955911.91,1136343.58,5.22,4.93,4.77,4.74,71.41,155,88,39.21,0.216,16.05,67.06,56.55,0.189,0.21,0.216,0.246
2022-11-23,4774261.99,5.37,1447248.18,1192403.36,947973.97,1186636.48,5.88,5.28,5.37,4.98,62.81,139,74,31.04,0.457,17.71,72.01,55.49,0.432,0.467,0.481,0.494
2022-11-24,4677560.23,7.17,1361012.98,1031384.21,864171.6,1420991.43,7.45,7.18,6.95,6.85,84.82,137,63,37.63,0.328,15.67,67.34,53.39,0.287,0.341,0.352,0.359
2022-11-25,4851424.09,4.56,1373810.63,1179889.42,1063542.43,1234181.61,4.67,4.63,4.35,4.36,60.57,128,52,31.24,0.293,15.09,71.94,55.2,0.286,0.292,0.304,0.325
2022-11-26,4646241.18,7.11,1316867.09,1246005.55,876224.57,1207143.97,7.27,7.0,6.92,6.88,73.75,143,84,41.04,0.09,16.58,68.32,59.59,0.083,0.089,0.12,0.109
2022-11-27,5005420.3,5.18,1580549.73,1231091.2,914437.07,1279342.3,5.33,5.19,4.88,5.07,67.73,114,59,38.2,0.541,23.8,76.08,48.62,0.526,0.553,0.547,0.574
2022-11-28,4755080.08,6.83,1367916.2,1207206.01,969056.29,1210901.58,6.85,6.85,6.55,6.53,72.59,119,55,44.3,0.436,17.4,65.41,41.34,0.403,0.448,0.467,0.47
2022-11-29,4578141.09,4.09,1341097.13,1078578.88,959370.83,1199094.25,4.26,4.02,3.86,3.57,73.97,144,62,32.75,0.689,24.7,73.32,49.22,0.671,0.699,0.687,0.725
2022-11-30,4553492.9,6.09,1316261.14,1177986.65,825537.96,1233707.14,6.36,6.03,5.84,5.71,66.0,144,81,39.09,0.431,20.97,67.54,40.93,0.42,0.427,0.442,0.458
2022-12-01,4740896.69,4.76,1394771.11,1226214.32,978277.9,1141633.37,4.84,4.79,4.57,4.24,73.92,132,75,33.17,0.253,17.37,65.01,45.89,0.237,0.246,0.271,0.283
2022-12-02,4657184.47,4.08,1316944.44,1145969.18,937452.46,1256818.39,4.39,3.97,3.71,3.7,78.9,125,70,39.21,0.177,19.97,78.04,51.74,0.156,0.193,0.199,0.214
2022-12-03,4770680.06,5.72,1434841.14,1282362.1,878428.18,1175048.63,5.97,5.75,5.67,5.32,66.66,144,76,40.84,0.391,17.19,75.07,46.19,0.386,0.398,0.393,0.411
2022-12-04,4742788.51,6.51,1340807.67,1073186.38,886431.7,1442362.76,6.64,6.42,6.3,6.01,69.59,149,71,40.83,0.431,24.84,66.48,53.71,0.404,0.424,0.462,0.443
2022-12-05,4678260.53,4.66,1459684.0,1033181.6,948372.16,1237022.77,4.84,4.76,4.45,4.32,66.71,137,63,42.23,0.062,23.47,74.96,56.44,0.04,0.061,0.09,0.081
2022-12-06,4586384.75,4.0,1327063.47,1185616.74,879917.66,1193786.88,4.36,4.23,3.72,3.72,80.51,133,53,42.8,0.252,15.26,74.17,48.41,0.238,0.253,0.291,0.275
2022-12-07,4507218.33,5.41,1359379.2,1173489.35,980467.05,993882.74,5.68,5.32,5.29,5.0,78.12,149,84,31.16,0.059,24.48,72.1,58.0,0.042,0.058,0.086,0.1
2022-12-08,4636418.21,5.41,1461413.69,1047878.55,986396.16,1140729.8,5.61,5.47,5.39,4.97,81.78,137,57,35.15,0.26,22.21,71.29,41.6,0.246,0.257,0.273,0.31
2022-12-09,4793767.86,6.05,1467061.2,1118286.05,1051477.93,1156942.68,6.22,5.98,5.83,5.8,64.25,123,65,40.31,0.451,15.82,78.31,56.8,0.436,0.463,0.46,0.472
2022-12-10,4717691.25,6.45,1421526.76,1042032.41,898186.3,1355945.78,6.66,6.55,6.22,6.22,61.84,132,66,37.48,0.426,21.71,68.68,56.57,0.411,0.431,0.442,0.455
2022-12-11,4543511.35,5.44,1331127.74,1066205.05,994070.06,1152108.5,5.59,5.31,5.09,5.13,62.98,139,70,32.86,0.033,21.47,70.97,46.44,0.009,0.055,0.075,0.058
2022-12-12,4714781.71,7.36,1382940.13,1219511.73,929987.65,1182342.19,7.35,7.4,7.28,6.97,64.03,151,88,38.29,0.312,17.19,69.94,45.97,0.285,0.325,0.333,0.347
2022-12-13,4741238.09,5.72,1454514.55,1165861.09,919329.63,1201532.82,6.13,5.64,5.41,5.34,73.33,135,55,36.11,0.088,22.58,76.57,46.1,0.069,0.089,0.109,0.121
2022-12-14,4589937.11,5.15,1467703.88,1089673.01,835432.73,1197127.5,5.37,5.13,4.72,5.0,84.27,143,79,35.85,0.13,15.87,78.75,56.23,0.125,0.144,0.164,0.151
2022-12-15,4715447.01,3.89,1445159.87,1125044.19,858732.93,1286510.02,4.13,3.79,3.73,3.4,68.93,134,55,42.15,0.323,19.89,77.75,56.63,0.303,0.327,0.332,0.347
2022-12-16,4704985.05,5.24,1422370.32,1035415.15,977133.41,1270066.17,5.43,5.32,5.17,5.0,83.96,146,60,36.11,0.239,15.1,76.97,46.59,0.225,0.264,0.265,0.268
2022-12-17,4561843.56,5.16,1410640.73,1071987.74,904691.86,1174523.23,5.29,5.08,5.0,4.89,60.96,144,70,30.4,0.115,24.69,79.8,51.85,0.096,0.112,0.14,0.157
2022-12-18,4742934.48,6.46,1416279.24,1196751.16,896703.3,1233200.78,6.64,6.52,6.26,6.25,83.17,132,54,30.87,0.299,22.52,75.46,42.78,0.299,0.303,0.328,0.322
2022-12-19,4768294.14,5.96,1346593.42,1281286.99,975396.59,1165017.15,6.0,5.93,5.71,5.39,64.53,123,69,42.84,0.306,16.59,76.27,49.38,0.285,0.3,0.335,0.321
2022-12-20,4831966.15,4.32,1461630.49,1267681.01,918625.98,1184028.66,4.75,4.31,4.18,4.0,82.81,150,76,44.41,0.102,18.42,79.74,59.98,0.088,0.098,0.121,0.145
2022-12-21,4829456.25,5.67,1537240.13,1068177.92,980888.02,1243150.19,5.75,5.69,5.32,5.46,61.41,122,50,40.33,0.321,16.61,65.1,43.18,0.293,0.317,0.327,0.356
2022-12-22,4538679.68,6.17,1302656.07,1202423.47,882175.68,1151424.46,6.27,6.1,6.08,5.79,83.71,143,58,35.47,0.295,22.67,74.51,58.95,0.264,0.307,0.309,0.313
2022-12-23,4592461.0,7.03,1412641.9,1190181.83,977928.24,1011709.03,7.18,7.05,7.0,6.65,65.02,146,76,44.08,0.436,15.59,76.08,56.49,0.416,0.438,0.465,0.469
2022-12-24,4767804.23,6.39,1373305.68,1234950.96,1014721.51,1144826.08,6.72,6.54,6.08,6.11,67.57,139,78,39.94,0.486,23.4,78.77,59.44,0.478,0.462,0.525,0.524
2022-12-25,4768654.31,6.26,1437430.29,1158305.12,949410.54,1223508.37,6.46,6.18,6.29,5.88,72.27,102,50,42.67,0.257,24.42,78.26,43.59,0.243,0.258,0.264,0.288
2022-12-26,4769805.72,5.56,1353990.72,1144277.66,925498.59,1346038.76,5.64,5.68,5.38,5.34,69.52,124,63,41.49,0.388,21.77,77.63,44.27,0.347,0.378,0.395,0.431
2022-12-27,5171327.78,5.89,1541132.41,1216015.94,1005835.62,1408343.81,6.21,6.04,5.38,5.64,76.69,138,77,35.69,0.253,17.13,79.19,40.34,0.241,0.249,0.258,0.289
2022-12-28,4778506.86,6.75,1482515.19,1066967.68,1014135.73,1214888.27,7.02,6.67,6.55,6.65,84.37,125,65,37.18,0.233,18.6,73.06,54.49,0.197,0.244,0.245,0.266
2022-12-29,4847267.88,4.17,1424625.9,1121714.83,936139.17,1364787.98,4.42,4.02,4.08,4.0,75.16,143,64,32.79,0.419,19.77,65.1,52.88,0.407,0.406,0.449,0.451
2022-12-30,4826480.21,5.15,1479781.79,1121337.02,909127.28,1316234.12,5.42,5.18,4.96,4.67,78.04,136,71,34.38,0.439,21.05,65.17,43.56,0.424,0.426,0.472,0.47
2022-12-31,4791166.95,4.73,1493972.09,1170021.43,878640.29,1248533.14,5.17,4.67,4.53,4.26,62.2,136,71,41.67,0.289,21.69,73.17,55.82,0.267,0.272,0.288,0.327
2023-01-01,4676167.69,5.88,1482752.51,1203515.66,929003.6,1060895.92,6.3,6.07,5.66,5.57,75.7,142,78,43.41,0.458,20.54,71.53,45.98,0.445,0.454,0.466,0.487
2023-01-02,4806076.31,6.73,1390809.68,1171195.1,957780.28,1286291.25,6.86,6.73,6.46,6.26,71.35,134,70,40.87,0.284,18.51,71.77,42.7,0.261,0.267,0.29,0.323
2023-01-03,4623260.97,4.9,1368358.74,1030488.91,987696.59,1236716.73,5.27,4.82,4.81,4.62,82.14,155,92,36.98,0.127,23.91,71.01,48.45,0.108,0.111,0.138,0.16
2023-01-04,4688581.77,3.11,1341387.49,1256021.78,885436.55,1205735.95,3.35,2.99,2.74,2.83,69.71,142,62,31.3,0.276,15.81,78.77,41.82,0.241,0.273,0.293,0.307
2023-01-05,4659756.37,5.09,1489721.04,1244789.69,909769.21,1015476.44,5.34,5.2,4.86,4.78,76.99,135,80,30.85,0.223,19.66,70.39,45.26,0.2,0.226,0.239,0.249
2023-01-06,4728824.9,6.41,1499415.98,1225992.67,1004100.85,999315.4,6.44,6.36,6.14,6.13,65.7,146,74,35.61,0.347,22.76,77.84,47.43,0.336,0.338,0.372,0.374
2023-01-07,4997759.03,6.04,1507315.55,1347227.88,1064247.52,1078968.07,6.22,6.04,5.9,5.76,66.48,139,74,36.96,0.201,15.61,78.54,57.04,0.168,0.205,0.202,0.234
2023-01-08,4496928.18,5.93,1410602.42,1111749.1,878629.81,1095946.85,6.05,6.02,5.6,5.51,69.4,132,55,39.14,0.335,22.05,72.49,55.85,0.323,0.336,0.35,0.375
2023-01-09,4804351.22,5.22,1445332.95,1288231.13,953014.94,1117772.2,5.5,5.17,5.05,4.9,67.6,142,68,30.1,0.267,23.2,71.7,48.86,0.227,0.273,0.301,0.302
2023-01-10,4529474.1,4.22,1381233.36,1013606.85,870254.36,1264379.52,4.53,4.22,3.99,3.85,66.35,118,65,44.85,0.357,21.61,76.42,54.49,0.325,0.347,0.391,0.38
2023-01-11,4667368.18,6.02,1323502.15,1112159.33,1014229.35,1217477.34,6.01,6.01,5.91,5.61,61.24,147,80,35.46,0.243,15.13,75.62,51.37,0.22,0.263,0.28,0.257
2023-01-12,4855674.07,4.67,1506282.62,1122967.19,897065.15,1329359.11,4.86,4.73,4.57,4.33,80.92,140,57,42.72,0.015,16.8,69.93,46.82,-0.004,0.003,0.039,0.052
2023-01-13,4733713.6,7.68,1349622.17,1087767.88,1028872.54,1267451.01,8.0,7.74,7.42,7.48,61.61,143,73,38.02,0.238,18.42,66.54,54.52,0.212,0.231,0.251,0.294
2023-01-14,4597670.63,6.07,1439267.25,1043855.82,953348.42,1161199.14,6.25,6.05,5.91,5.91,82.18,164,68,31.96,0.195,17.34,68.97,53.67,0.169,0.2,0.217,0.222
2023-01-15,4642163.55,4.92,1445017.89,1165743.28,934295.23,1097107.15,5.19,4.93,4.8,4.6,63.14,133,80,41.96,0.697,24.63,66.97,52.38,0.688,0.699,0.743,0.723
2023-01-16,4810551.73,4.89,1483332.61,1246250.84,872183.64,1208784.65,5.12,4.85,4.75,4.61,61.63,152,88,40.65,0.504,21.52,69.42,52.36,0.496,0.512,0.518,0.542
2023-01-17,4642356.0,5.41,1306574.46,1155551.67,923939.55,1256290.32,5.64,5.26,5.14,5.1,74.08,133,54,37.91,0.231,17.97,68.93,53.66,0.206,0.227,0.269,0.252
2023-01-18,4756975.03,5.26,1389631.97,1081489.4,933841.41,1352012.25,5.43,5.29,5.12,4.96,72.56,133,76,37.72,0.326,24.3,74.57,47.69,0.302,0.314,0.322,0.371
2023-01-19,4737468.62,6.62,1376350.72,1234376.77,883295.11,1243446.02,6.7,6.81,6.43,6.06,72.28,125,73,31.31,0.131,22.41,79.32,57.38,0.108,0.116,0.157,0.165
2023-01-20,4654807.96,5.69,1370400.86,1172070.1,960083.86,1152253.14,5.77,5.6,5.48,5.52,74.36,118,56,39.84,0.2,17.85,75.29,43.25,0.202,0.218,0.226,0.229
2023-01-21,4991273.29,4.77,1415054.48,1194952.18,1092320.38,1288946.26,5.04,4.69,4.76,4.67,67.18,158,86,43.67,0.249,18.79,78.9,57.68,0.229,0.246,0.272,0.271
2023-01-22,4811070.28,7.39,1527410.48,1220599.87,974181.85,1088878.09,7.59,7.3,7.34,7.06,76.57,135,66,31.4,0.677,16.99,76.76,46.85,0.672,0.675,0.701,0.715
2023-01-23,4492982.89,5.55,1357564.17,1046843.67,937191.89,1151383.16,5.74,5.62,5.32,5.29,72.56,144,76,33.95,0.111,24.71,75.92,42.5,0.098,0.129,0.136,0.136
2023-01-24,4759374.52,6.27,1390789.05,1129207.34,869718.67,1369659.46,6.43,6.31,6.14,5.94,68.37,145,68,43.53,0.422,20.17,71.21,52.0,0.401,0.417,0.448,0.459
2023-01-25,4658585.62,4.89,1378378.87,1238598.16,916374.91,1125233.69,5.06,4.88,4.59,4.53,80.66,140,65,34.27,0.379,23.96,69.87,47.52,0.352,0.379,0.395,0.413
2023-01-26,4841292.0,5.86,1442163.28,1135405.1,893965.58,1369758.04,6.17,5.77,5.57,5.43,78.19,122,59,39.81,0.156,18.46,77.69,56.31,0.144,0.146,0.174,0.199
2023-01-27,4644897.51,5.81,1412159.27,1131029.82,949936.51,1151771.92,5.98,5.82,5.54,5.66,69.84,119,51,38.02,0.498,23.61,78.58,48.62,0.47,0.484,0.504,0.529
2023-01-28,4727231.63,3.61,1421134.3,1250386.12,1028358.59,1027352.61,3.68,3.45,3.23,3.37,81.19,128,72,38.94,0.381,15.54,71.78,53.37,0.357,0.4,0.409,0.442
2023-01-29,4802598.47,7.52,1521346.39,1226516.74,991597.83,1063137.51,7.79,7.53,7.32,7.17,83.01,151,71,36.24,0.398,24.82,65.14,46.17,0.385,0.417,0.431,0.434
2023-01-30,4846890.62,6.79,1453478.48,1081390.55,887330.55,1424691.04,6.97,6.88,6.53,6.41,73.42,134,64,34.5,0.334,24.12,76.89,44.19,0.312,0.345,0.372,0.366
2023-01-31,4599964.43,5.1,1470545.7,1045871.61,893251.67,1190295.44,5.31,4.98,4.96,4.58,65.37,142,82,30.73,0.36,18.63,69.28,47.76,0.336,0.37,0.372,0.386
2023-02-01,4704859.85,4.4,1477594.16,1036913.85,950506.53,1239845.31,4.76,4.24,3.95,4.0,82.89,123,61,41.16,0.182,22.75,65.15,52.14,0.159,0.189,0.185,0.221
2023-02-02,4689006.56,5.85,1352030.12,1179501.26,919646.93,1237828.24,6.05,6.01,5.45,5.55,64.74,139,71,41.19,0.424,22.52,77.07,53.14,0.397,0.417,0.448,0.451
2023-02-03,4668600.49,5.59,1480991.23,1131592.53,996026.12,1059990.61,5.82,5.53,5.39,5.38,61.21,122,72,40.06,0.456,24.01,72.76,51.56,0.441,0.459,0.465,0.479
2023-02-04,4959854.51,5.86,1411845.68,1124467.18,1054399.8,1369141.85,5.94,5.97,5.62,5.61,68.19,121,70,39.65,0.19,18.07,75.28,59.76,0.17,0.185,0.215,0.215
2023-02-05,4797597.81,5.69,1500199.18,1285260.65,980980.37,1031157.6,5.87,5.68,5.36,5.45,78.17,106,46,33.66,0.409,19.66,78.72,53.82,0.375,0.383,0.407,0.437
2023-02-06,4598693.93,6.01,1357649.1,1133499.81,896461.66,1211083.36,6.27,5.99,5.82,5.64,83.08,146,72,30.34,0.204,23.65,73.12,58.63,0.179,0.215,0.235,0.256
2023-02-07,4861143.43,6.95,1531838.53,1128245.46,924654.89,1276404.57,6.99,6.99,6.81,6.62,75.93,150,89,42.13,0.283,22.79,72.55,42.36,0.26,0.289,0.305,0.316
2023-02-08,5006658.74,6.07,1575706.99,1226782.49,922401.64,1281767.63,6.29,5.98,5.78,5.9,83.8,151,72,37.37,0.159,18.93,69.36,41.23,0.136,0.146,0.16,0.183
2023-02-09,4876895.83,4.45,1522747.4,1238638.96,947073.21,1168436.26,4.66,4.46,4.24,4.19,62.31,133,63,34.6,0.15,23.46,69.58,46.22,0.136,0.146,0.173,0.19
2023-02-10,4571675.6,6.86,1424539.68,1023195.68,898457.24,1225483.0,7.07,6.82,6.64,6.47,61.52,141,62,31.53,0.22,15.47,76.95,42.73,0.193,0.231,0.241,0.252
2023-02-11,4696891.91,7.14,1372371.53,1097828.93,972411.23,1254280.22,7.44,7.01,7.02,6.81,75.1,150,63,30.94,0.276,22.82,71.74,50.52,0.283,0.277,0.301,0.319
2023-02-12,4908029.34,8.65,1390134.38,1277796.97,1012655.99,1227442.0,8.89,8.69,8.62,8.3,84.15,150,82,35.23,0.138,17.07,67.45,50.38,0.132,0.121,0.166,0.187
2023-02-13,4672079.66,4.38,1383492.53,1135237.07,854076.37,1299273.7,4.72,4.35,4.15,4.04,72.57,109,60,42.07,0.343,17.86,66.42,51.5,0.337,0.331,0.339,0.358
2023-02-14,4811258.33,5.74,1380547.18,1189963.02,942094.29,1298653.84,5.84,5.73,5.45,5.28,61.29,144,86,43.78,0.126,19.93,72.09,54.9,0.095,0.144,0.141,0.132
2023-02-15,4851956.09,3.42,1493422.59,1172430.55,908631.42,1277471.53,3.63,3.3,3.24,3.09,65.53,161,89,43.45,0.306,19.5,71.97,59.43,0.266,0.307,0.326,0.356
2023-02-16,4648768.34,6.05,1366012.63,1032933.07,865937.74,1383884.9,6.26,6.21,5.71,5.79,66.12,162,73,43.8,0.364,20.21,74.8,57.57,0.341,0.375,0.381,0.387
2023-02-17,4753856.96,4.95,1516596.4,1085246.07,1013009.3,1139005.19,5.04,5.04,4.82,4.74,68.45,134,55,43.62,0.216,20.45,72.07,42.37,0.199,0.235,0.233,0.229
2023-02-18,4373047.92,7.42,1336573.48,1059489.29,794480.52,1182504.63,7.72,7.52,7.33,7.1,61.09,149,89,37.91,0.473,18.32,67.15,46.77,0.452,0.469,0.504,0.498
2023-02-19,4640073.48,4.73,1451875.39,1069347.96,913014.8,1205835.33,5.16,4.69,4.53,4.67,82.62,146,68,33.29,0.281,16.75,72.62,45.12,0.255,0.284,0.283,0.301
2023-02-20,4733691.82,3.81,1350526.95,1053241.47,883913.5,1446009.91,4.01,3.64,3.62,3.53,72.89,129,60,41.97,0.28,22.68,78.6,43.54,0.243,0.261,0.298,0.303
2023-02-21,4615266.02,5.03,1451411.53,1210041.91,993081.6,960730.98,5.28,5.22,4.75,4.75,76.77,132,77,33.21,0.384,19.0,67.39,50.89,0.357,0.378,0.402,0.422
2023-02-22,4961889.36,3.52,1572473.78,1335044.1,1003699.02,1050672.46,3.73,3.52,3.4,3.36,61.68,150,78,34.01,0.338,20.06,75.35,51.07,0.316,0.344,0.357,0.365
2023-02-23,4595383.03,6.25,1376236.69,1193224.03,869700.25,1156222.06,6.38,6.18,5.91,6.04,61.35,120,53,33.5,0.284,21.45,73.91,44.54,0.259,0.282,0.294,0.297
2023-02-24,4715194.66,3.43,1434598.53,1238630.93,943496.74,1098468.46,3.45,3.48,3.04,3.05,74.66,137,79,37.72,0.085,24.1,76.23,54.24,0.06,0.09,0.126,0.115
2023-02-25,4784688.87,5.53,1486087.96,1110520.82,1001241.38,1186838.71,5.66,5.65,5.33,5.21,82.18,131,78,34.83,0.317,22.08,67.26,54.66,0.289,0.326,0.347,0.338
2023-02-26,4942952.79,3.42,1418595.55,1324866.3,1079168.79,1120322.16,3.48,3.42,3.1,3.11,73.21,140,58,32.31,0.056,15.45,79.12,40.42,0.053,0.062,0.098,0.084
2023-02-27,4598696.54,5.18,1380080.99,1056993.32,868315.95,1293306.29,5.55,5.31,5.09,4.85,81.95,121,69,36.8,0.161,23.39,74.31,47.92,0.148,0.165,0.188,0.189
2023-02-28,4911579.65,7.14,1453564.91,1314198.69,1058186.43,1085629.62,7.33,7.25,6.84,6.83,80.27,165,79,43.11,0.111,24.89,77.71,57.8,0.101,0.113,0.139,0.15
